abbrev,        name,                                        scalerank,        type,             location,                                   country,                        city,                           city_location,              elevation
ADQ,           Kodiak,                                      8,                mid,              POINT(-152.485638515235 57.7485921070483),  ,                               ,,                                                          23.0
AMA,           Amarillo Int'l,                              8,                major,            POINT(-101.705352772697 35.2184031919398),  United States,                  Amarillo,                       POINT(-101.8316 35.1984),   1100.0
ASP,           Alice Springs,                               8,                mid,              POINT(133.902918 -23.801968),               Australia,                      Alice Springs,                  POINT(133.8667 -23.7),      546.0
ATQ,           Raja Sansi Int'l,                            8,                mid:military,     POINT(74.8071559719824 31.7068220258888),   Pakistan,                       Lahore,                         POINT(74.3436 31.5497),     231.0
BBI,           Biju Patnaik,                                8,                mid,              POINT(85.8168899544429 20.2526659754734),   India,                          Bhubaneshwar,                   POINT(85.84 20.27),         40.0
BET,           Bethel,                                      8,                mid,              POINT(-161.83898695944 60.7787379834088),   ,                               ,,                                                          38.0
BGA,           Palonegro,                                   8,                mid,              POINT(-73.1809207725361 7.12770915402685),  Colombia,                       Bucaramanga,                    POINT(-73.0 7.1333),        1188.0
BHM,           Birmingham Int'l,                            8,                major,            POINT(-86.7523773615462 33.5618672828058),  United States,                  Hoover,                         POINT(-86.8068 33.3763),    197.0
BHQ,           Broken Hill,                                 8,                mid,              POINT(141.470407303097 -31.998996737463),   Australia,                      Broken Hill,                    POINT(141.4667 -31.95),     
BIL,           Logan Int'l,                                 8,                major,            POINT(-108.536929388125 45.8036855715278),  United States,                  Billings,                       POINT(-108.5526 45.7891),   
BIS,           Bismarck Muni.,                              8,                mid,              POINT(-100.757471303717 46.7751066661614),  United States,                  Bismarck,                       POINT(-100.7694 46.8143),   
BJX,           Del Bajio Int'l,                             8,                mid,              POINT(-101.478753382467 20.9858871211938),  Mexico,                         León de los Aldama,             POINT(-101.6833 21.1167),   1820.0
BNI,           Benin,                                       8,                mid,              POINT(5.603682560067 6.31716689207818),     Nigeria,                        Benin City,                     POINT(5.6222 6.3333),       79.0
BOJ,           Bourgas,                                     8,                major,            POINT(27.5164093662953 42.5670835487702),   Bulgaria,                       Burgas,                         POINT(27.4702 42.503),      42.0
BRE,           Bremen,                                      8,                major,            POINT(8.7858617703132 53.052287104156),     Germany,                        Bremen,                         POINT(8.8 53.0833),         5.0
BRM,           Jacinto Lara Int'l,                          8,                mid,              POINT(-69.356102 10.0453),                  Venezuela,                      Barquisimeto,                   POINT(-69.3467 10.0678),    623.0
BRO,           Brownsville-South Padre Island Int'l,        8,                mid,              POINT(-97.431765340232 25.9062743545347),   Mexico,                         Heroica Matamoros,              POINT(-97.5042 25.8797),    7.0
BRS,           Bristol Int'l,                               8,                major,            POINT(-2.71086469134308 51.3862934189148),  United Kingdom,                 Caerdydd,                       POINT(-3.1792 51.4817),     190.0
BTR,           Baton Rouge Metro,                           8,                major,            POINT(-91.1567544048105 30.5326138040586),  United States,                  Baton Rouge,                    POINT(-91.1311 30.442),     22.0
BTS,           Bratislava-M.R. Štefánik,                    8,                major,            POINT(17.1999850022208 48.1698379062535),   Slovakia,                       Bratislava,                     POINT(17.1097 48.1439),     133.0
BTV,           Burlington Int'l,                            8,                mid,              POINT(-73.1550787790668 44.4692066040732),  United States,                  South Burlington,               POINT(-73.2202 44.4622),    103.0
CAE,           Columbia Metro,                              8,                major,            POINT(-81.1093352429377 33.9342054584275),  United States,                  West Columbia,                  POINT(-81.0936 33.9932),    72.0
CCJ,           Calicut Int'l,                               8,                major,            POINT(75.950993063051 11.1395520526064),    India,                          Calicut,                        POINT(75.77 11.25),         101.0
CCK,           Cocos (Keeling) Islands,                     8,                mid,              POINT(96.8287472144207 -12.1851585953293),  ,                               ,,                                                          
CFU,           Corfu Int'l (Ioannis Kapodistrias),          8,                mid,              POINT(19.9147561641662 39.6067554505259),   Greece,                         Kérkyra,                        POINT(19.9214 39.6239),     2.0
CGQ,           Changchun Longjia Int'l,                     8,                major,            POINT(125.690456812998 43.993011479577),    China,                          Changchun,                      POINT(125.2 43.9),          
CHS,           Charleston Int'l,                            8,                major:military,   POINT(-80.0369337438262 32.8845301562965),  United States,                  North Charleston,               POINT(-80.0722 32.9067),    14.0
CJB,           Coimbatore,                                  8,                mid,              POINT(77.038893772262 11.0301415125983),    India,                          Coimbatore,                     POINT(76.9558 11.0168),     403.0
CLJ,           Someseni,                                    8,                mid,              POINT(23.6869812680486 46.7826626340243),   Romania,                        Cluj-Napoca,                    POINT(23.5833 46.7667),     316.0
CMW,           Ignacio Agramonte,                           8,                mid,              POINT(-77.8451039935167 21.4247037281961),  Cuba,                           Camagüey,                       POINT(-77.9075 21.3839),    126.0
CPR,           Casper/Natrona County Int'l,                 8,                major,            POINT(-106.464444809692 42.8971900483006),  United States,                  Casper,                         POINT(-106.3208 42.842),    1631.0
CRK,           Clark Int'l,                                 8,                major,            POINT(120.550770223914 15.1876422423888),   Philippines,                    Angeles City,                   POINT(120.5847 15.1472),    
CRW,           Yeager,                                      8,                major:military,   POINT(-81.5964164667526 38.3705914372865),  United States,                  South Charleston,               POINT(-81.7155 38.3426),    
CTA,           Catania Fontanarossa,                        8,                major,            POINT(15.0674605007053 37.470072800341),    Italy,                          Catania,                        POINT(15.0903 37.5),        13.0
CTM,           Chetumal Int'l,                              8,                mid,              POINT(-88.3242600415365 18.506434233376),   Mexico,                         Chetumal,                       POINT(-88.3053 18.5036),    15.0
CWL,           Cardiff,                                     8,                major,            POINT(-3.33956876429118 51.3986220911017),  United Kingdom,                 Caerdydd,                       POINT(-3.1792 51.4817),     68.0
CYB,           Gerrard Smith,                               8,                mid,              POINT(-79.879461638003 19.6898653962844),   Cuba,                           Ciego de Ávila,                 POINT(-78.7631 21.8481),    3.0
CZM,           Cozumel Int'l,                               8,                mid,              POINT(-86.9304064070436 20.5115543771647),  Mexico,                         Cozumel,                        POINT(-86.9493 20.5104),    5.0
